Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
47	-15.346449	2.697267	-10.107533	-21.534071	50.0	-6.544614	3.0762846	0.14583565	-13.971411	240000	2.3368e-08	4.206374	-0.026060486	-0.3195653	0.016576542	0.007186991	0.1198	79.0	184.1197850704193
48	-14.988567	2.660752	-9.085904	-21.505499	50.0	-6.06197	3.0086253	0.20341663	-13.646884	245000	2.6479363e-09	3.7058382	-0.0268175	-0.15250158	-0.0062209945	0.011822922	0.1288	79.0	188.07458114624023
49	-14.960109	2.8674676	-9.744356	-24.46439	50.0	-5.972952	2.9532354	0.478206	-13.269641	250000	2.487749e-09	3.6917598	-0.027274666	-0.09558058	-0.024464136	0.011429477	0.1032	79.0	192.10547995567322
50	-14.759563	2.734423	-9.594649	-20.61012	50.0	-5.99062	2.9117935	0.7068971	-14.448903	255000	1.7905235e-08	3.0079787	-0.026718043	-0.06783533	-0.04752113	0.014060179	0.117	79.0	196.1034688949585
51	-14.168966	2.0788352	-8.99649	-19.566708	50.0	-5.751872	2.8452928	0.4336422	-13.023723	260000	1.1962652e-08	2.832375	-0.024184598	-0.08910775	-0.06953071	0.009792052	0.1204	79.0	200.10351014137268
52	-14.03938	2.573358	-9.362502	-20.573135	50.0	-5.6310916	2.785959	1.0305438	-12.669178	265000	-1.2274087e-08	2.9054809	-0.024740828	-0.057115316	-0.09116673	0.012432245	0.1194	79.0	204.14064002037048
53	-13.648629	2.3243635	-9.749933	-19.171091	50.0	-5.506021	2.8181913	0.93341637	-12.282417	270000	6.853044e-09	2.5387354	-0.023848196	-0.088501215	-0.10975935	0.01279978	0.1256	79.0	208.05311799049377
54	-13.546686	2.2662714	-9.625748	-18.886097	50.0	-5.4113464	2.6989844	0.14511043	-12.197957	275000	-3.9577484e-09	2.3443491	-0.021497859	-0.05339718	-0.1278053	0.015191554	0.1148	42.0	211.808491230011
55	-13.631714	2.219574	-9.31268	-19.010334	50.0	-5.3275843	2.7794335	0.73168993	-12.427481	280000	4.9829483e-09	2.5273046	-0.028382016	-0.08915949	-0.1400748	0.012016196	0.1268	79.0	215.77119612693787
56	-13.459014	2.5313933	-8.34947	-18.420094	50.0	-5.3350267	2.7299335	0.5019855	-12.037226	285000	2.783537e-09	2.5440376	-0.02815551	-0.04921031	-0.16023473	0.0123378765	0.1316	79.0	219.7419421672821
57	-13.409181	2.211422	-9.212563	-18.189249	50.0	-5.1880994	2.694455	0.34120172	-11.824741	290000	5.8835603e-09	2.465056	-0.028340472	-0.07891178	-0.17915927	0.012444474	0.1284	79.0	223.79256510734558
58	-12.79055	2.4436588	-8.255377	-18.317787	50.0	-5.397603	2.5291739	0.0767453	-11.67	295000	-1.5063584e-08	2.4738996	-0.028660053	-0.17124343	-0.1966358	0.012150585	0.1376	79.0	227.76682305335999
